"deltakar","kjønn","alder","dialekt","språk","ord","ordklasse","setning","setning_nr","kategori","np_pro","rekkefølgje","subjekt","verb","partikkel","objekt","verb_part"
"GB01","male",34,"Göteborg","swedish","vakterna","N","Vakterna kastade ut studenten från puben","1301","Obj-PartPP","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","kastade_ut","V","Vakterna kastade ut studenten från puben","1301","Obj-PartPP","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","studenten","N","Vakterna kastade ut studenten från puben","1301","Obj-PartPP","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","från","Prep","Vakterna kastade ut studenten från puben","1301","Obj-PartPP","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","puben","N","Vakterna kastade ut studenten från puben","1301","Obj-PartPP","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","vakterna","N","Vakterna kastade ut studenten igår","1302","Obj-Part","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","kastade_ut","V","Vakterna kastade ut studenten igår","1302","Obj-Part","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","studenten","N","Vakterna kastade ut studenten igår","1302","Obj-Part","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","igår","Adv","Vakterna kastade ut studenten igår","1302","Obj-Part","NP","PO","vakterna","kastade","ut","studenten","kastade_ut"
"GB01","male",34,"Göteborg","swedish","vakterna","N","Vakterna kastade ut honom från puben","1303","Obj-PartPP","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
"GB01","male",34,"Göteborg","swedish","kastade_ut","V","Vakterna kastade ut honom från puben","1303","Obj-PartPP","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
"GB01","male",34,"Göteborg","swedish","honom","Pron","Vakterna kastade ut honom från puben","1303","Obj-PartPP","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
"GB01","male",34,"Göteborg","swedish","från","Prep","Vakterna kastade ut honom från puben","1303","Obj-PartPP","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
"GB01","male",34,"Göteborg","swedish","puben","N","Vakterna kastade ut honom från puben","1303","Obj-PartPP","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
"GB01","male",34,"Göteborg","swedish","vakterna","N","Vakterna kastade ut honom igår","1304","Obj-Part","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
"GB01","male",34,"Göteborg","swedish","kastade_ut","V","Vakterna kastade ut honom igår","1304","Obj-Part","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
"GB01","male",34,"Göteborg","swedish","honom","Pron","Vakterna kastade ut honom igår","1304","Obj-Part","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
"GB01","male",34,"Göteborg","swedish","igår","Adv","Vakterna kastade ut honom igår","1304","Obj-Part","PRO","PO","vakterna","kastade","ut","honom","kastade_ut"
