"publikasjon","full_titel","ordklasse","frekvens","ratio"
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","substantiv",3733,0.373
"helseplager","Kvinners ubestemte helseplager","substantiv",3886,0.389
"rødt","Rødt!","substantiv",4615,0.461
"seileeventyr","Et seileeventyr i økologi","substantiv",4440,0.444
"filmopplevelse","Den reflekterte filmopplevelse","substantiv",4917,0.492
"vårt_land","Vårt Land","substantiv",4502,0.45
"jakt_og_fiske","Jakt & fiske","substantiv",4607,0.461
"amnesty_nytt","Amnesty Nytt","substantiv",4446,0.445
"barnebok","Barneboklesninger","substantiv",4530,0.453
"dagbladet","Dagblaget","substantiv",4644,0.464
"aftenposten","Aftenposten","substantiv",4959,0.496
"økonomisk","Økonomisk rapport","substantiv",4891,0.489
"bedre_gardsdrift","Bedre Gardsdrift","substantiv",4705,0.471
"adresseavisen","Adresseavisen","substantiv",4712,0.471
"naturen","Naturen","substantiv",4638,0.464
"reiser","Reiser & ferie","substantiv",5015,0.501
"gamereactor","Gamereactor","substantiv",4066,0.407
"filmmagasinet","Filmmagasinet","substantiv",4877,0.488
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","substantiv",3733,0.328
"helseplager","Kvinners ubestemte helseplager","substantiv",3886,0.344
"rødt","Rødt!","substantiv",4615,0.303
"seileeventyr","Et seileeventyr i økologi","substantiv",4440,0.316
"filmopplevelse","Den reflekterte filmopplevelse","substantiv",4917,0.274
"vårt_land","Vårt Land","substantiv",4502,0.312
"jakt_og_fiske","Jakt & fiske","substantiv",4607,0.289
"amnesty_nytt","Amnesty Nytt","substantiv",4446,0.323
"barnebok","Barneboklesninger","substantiv",4530,0.326
"dagbladet","Dagblaget","substantiv",4644,0.281
"aftenposten","Aftenposten","substantiv",4959,0.277
"økonomisk","Økonomisk rapport","substantiv",4891,0.281
"bedre_gardsdrift","Bedre Gardsdrift","substantiv",4705,0.296
"adresseavisen","Adresseavisen","substantiv",4712,0.303
"naturen","Naturen","substantiv",4638,0.275
"reiser","Reiser & ferie","substantiv",5015,0.25
"gamereactor","Gamereactor","substantiv",4066,0.293
"filmmagasinet","Filmmagasinet","substantiv",4877,0.27
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","substantiv",3733,0.156
"helseplager","Kvinners ubestemte helseplager","substantiv",3886,0.175
"rødt","Rødt!","substantiv",4615,0.161
"seileeventyr","Et seileeventyr i økologi","substantiv",4440,0.161
"filmopplevelse","Den reflekterte filmopplevelse","substantiv",4917,0.165
"vårt_land","Vårt Land","substantiv",4502,0.156
"jakt_og_fiske","Jakt & fiske","substantiv",4607,0.172
"amnesty_nytt","Amnesty Nytt","substantiv",4446,0.168
"barnebok","Barneboklesninger","substantiv",4530,0.139
"dagbladet","Dagblaget","substantiv",4644,0.177
"aftenposten","Aftenposten","substantiv",4959,0.155
"økonomisk","Økonomisk rapport","substantiv",4891,0.161
"bedre_gardsdrift","Bedre Gardsdrift","substantiv",4705,0.162
"adresseavisen","Adresseavisen","substantiv",4712,0.147
"naturen","Naturen","substantiv",4638,0.187
"reiser","Reiser & ferie","substantiv",5015,0.18
"gamereactor","Gamereactor","substantiv",4066,0.206
"filmmagasinet","Filmmagasinet","substantiv",4877,0.172
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","substantiv",3733,0.143
"helseplager","Kvinners ubestemte helseplager","substantiv",3886,0.092
"rødt","Rødt!","substantiv",4615,0.075
"seileeventyr","Et seileeventyr i økologi","substantiv",4440,0.079
"filmopplevelse","Den reflekterte filmopplevelse","substantiv",4917,0.069
"vårt_land","Vårt Land","substantiv",4502,0.081
"jakt_og_fiske","Jakt & fiske","substantiv",4607,0.077
"amnesty_nytt","Amnesty Nytt","substantiv",4446,0.064
"barnebok","Barneboklesninger","substantiv",4530,0.081
"dagbladet","Dagblaget","substantiv",4644,0.078
"aftenposten","Aftenposten","substantiv",4959,0.073
"økonomisk","Økonomisk rapport","substantiv",4891,0.07
"bedre_gardsdrift","Bedre Gardsdrift","substantiv",4705,0.071
"adresseavisen","Adresseavisen","substantiv",4712,0.079
"naturen","Naturen","substantiv",4638,0.074
"reiser","Reiser & ferie","substantiv",5015,0.069
"gamereactor","Gamereactor","substantiv",4066,0.095
"filmmagasinet","Filmmagasinet","substantiv",4877,0.071
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","verb",3277,0.373
"helseplager","Kvinners ubestemte helseplager","verb",3440,0.389
"rødt","Rødt!","verb",3030,0.461
"seileeventyr","Et seileeventyr i økologi","verb",3162,0.444
"filmopplevelse","Den reflekterte filmopplevelse","verb",2741,0.492
"vårt_land","Vårt Land","verb",3120,0.45
"jakt_og_fiske","Jakt & fiske","verb",2895,0.461
"amnesty_nytt","Amnesty Nytt","verb",3235,0.445
"barnebok","Barneboklesninger","verb",3265,0.453
"dagbladet","Dagblaget","verb",2807,0.464
"aftenposten","Aftenposten","verb",2768,0.496
"økonomisk","Økonomisk rapport","verb",2807,0.489
"bedre_gardsdrift","Bedre Gardsdrift","verb",2964,0.471
"adresseavisen","Adresseavisen","verb",3029,0.471
"naturen","Naturen","verb",2753,0.464
"reiser","Reiser & ferie","verb",2501,0.501
"gamereactor","Gamereactor","verb",2930,0.407
"filmmagasinet","Filmmagasinet","verb",2700,0.488
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","verb",3277,0.328
"helseplager","Kvinners ubestemte helseplager","verb",3440,0.344
"rødt","Rødt!","verb",3030,0.303
"seileeventyr","Et seileeventyr i økologi","verb",3162,0.316
"filmopplevelse","Den reflekterte filmopplevelse","verb",2741,0.274
"vårt_land","Vårt Land","verb",3120,0.312
"jakt_og_fiske","Jakt & fiske","verb",2895,0.289
"amnesty_nytt","Amnesty Nytt","verb",3235,0.323
"barnebok","Barneboklesninger","verb",3265,0.326
"dagbladet","Dagblaget","verb",2807,0.281
"aftenposten","Aftenposten","verb",2768,0.277
"økonomisk","Økonomisk rapport","verb",2807,0.281
"bedre_gardsdrift","Bedre Gardsdrift","verb",2964,0.296
"adresseavisen","Adresseavisen","verb",3029,0.303
"naturen","Naturen","verb",2753,0.275
"reiser","Reiser & ferie","verb",2501,0.25
"gamereactor","Gamereactor","verb",2930,0.293
"filmmagasinet","Filmmagasinet","verb",2700,0.27
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","verb",3277,0.156
"helseplager","Kvinners ubestemte helseplager","verb",3440,0.175
"rødt","Rødt!","verb",3030,0.161
"seileeventyr","Et seileeventyr i økologi","verb",3162,0.161
"filmopplevelse","Den reflekterte filmopplevelse","verb",2741,0.165
"vårt_land","Vårt Land","verb",3120,0.156
"jakt_og_fiske","Jakt & fiske","verb",2895,0.172
"amnesty_nytt","Amnesty Nytt","verb",3235,0.168
"barnebok","Barneboklesninger","verb",3265,0.139
"dagbladet","Dagblaget","verb",2807,0.177
"aftenposten","Aftenposten","verb",2768,0.155
"økonomisk","Økonomisk rapport","verb",2807,0.161
"bedre_gardsdrift","Bedre Gardsdrift","verb",2964,0.162
"adresseavisen","Adresseavisen","verb",3029,0.147
"naturen","Naturen","verb",2753,0.187
"reiser","Reiser & ferie","verb",2501,0.18
"gamereactor","Gamereactor","verb",2930,0.206
"filmmagasinet","Filmmagasinet","verb",2700,0.172
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","verb",3277,0.143
"helseplager","Kvinners ubestemte helseplager","verb",3440,0.092
"rødt","Rødt!","verb",3030,0.075
"seileeventyr","Et seileeventyr i økologi","verb",3162,0.079
"filmopplevelse","Den reflekterte filmopplevelse","verb",2741,0.069
"vårt_land","Vårt Land","verb",3120,0.081
"jakt_og_fiske","Jakt & fiske","verb",2895,0.077
"amnesty_nytt","Amnesty Nytt","verb",3235,0.064
"barnebok","Barneboklesninger","verb",3265,0.081
"dagbladet","Dagblaget","verb",2807,0.078
"aftenposten","Aftenposten","verb",2768,0.073
"økonomisk","Økonomisk rapport","verb",2807,0.07
