"","publikasjon","full_titel","ordklasse","frekvens","ratio","sum"
"1","hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","substantiv",3733,0.3733,10000
"2","hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","verb",3277,0.3277,10000
"3","hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adjektiv",1564,0.1564,10000
"4","hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adverb",1426,0.1426,10000
"5","helseplager","Kvinners ubestemte helseplager","substantiv",3886,0.3886,10000
"6","helseplager","Kvinners ubestemte helseplager","verb",3440,0.344,10000
"7","helseplager","Kvinners ubestemte helseplager","adjektiv",1755,0.1755,10000
"8","helseplager","Kvinners ubestemte helseplager","adverb",919,0.0919,10000
"9","rødt","Rødt!","substantiv",4615,0.4615,10000
"10","rødt","Rødt!","verb",3030,0.303,10000
"11","rødt","Rødt!","adjektiv",1607,0.1607,10000
"12","rødt","Rødt!","adverb",748,0.0748,10000
"13","seileeventyr","Et seileeventyr i økologi","substantiv",4440,0.443955604439556,10001
"14","seileeventyr","Et seileeventyr i økologi","verb",3162,0.316168383161684,10001
"15","seileeventyr","Et seileeventyr i økologi","adjektiv",1611,0.161083891610839,10001
"16","seileeventyr","Et seileeventyr i økologi","adverb",788,0.0787921207879212,10001
"17","filmopplevelse","Den reflekterte filmopplevelse","substantiv",4917,0.4917,10000
"18","filmopplevelse","Den reflekterte filmopplevelse","verb",2741,0.2741,10000
"19","filmopplevelse","Den reflekterte filmopplevelse","adjektiv",1647,0.1647,10000
"20","filmopplevelse","Den reflekterte filmopplevelse","adverb",695,0.0695,10000
"21","vårt_land","Vårt Land","substantiv",4502,0.4502,10000
"22","vårt_land","Vårt Land","verb",3120,0.312,10000
"23","vårt_land","Vårt Land","adjektiv",1564,0.1564,10000
"24","vårt_land","Vårt Land","adverb",814,0.0814,10000
"25","jakt_og_fiske","Jakt & fiske","substantiv",4607,0.4607,10000
"26","jakt_og_fiske","Jakt & fiske","verb",2895,0.2895,10000
"27","jakt_og_fiske","Jakt & fiske","adjektiv",1724,0.1724,10000
"28","jakt_og_fiske","Jakt & fiske","adverb",774,0.0774,10000
"29","amnesty_nytt","Amnesty Nytt","substantiv",4446,0.4446,10000
"30","amnesty_nytt","Amnesty Nytt","verb",3235,0.3235,10000
"31","amnesty_nytt","Amnesty Nytt","adjektiv",1675,0.1675,10000
"32","amnesty_nytt","Amnesty Nytt","adverb",644,0.0644,10000
"33","barnebok","Barneboklesninger","substantiv",4530,0.453,10000
"34","barnebok","Barneboklesninger","verb",3265,0.3265,10000
"35","barnebok","Barneboklesninger","adjektiv",1394,0.1394,10000
"36","barnebok","Barneboklesninger","adverb",811,0.0811,10000
"37","dagbladet","Dagblaget","substantiv",4644,0.464353564643536,10001
"38","dagbladet","Dagblaget","verb",2807,0.280671932806719,10001
"39","dagbladet","Dagblaget","adjektiv",1768,0.176782321767823,10001
"40","dagbladet","Dagblaget","adverb",782,0.0781921807819218,10001
"41","aftenposten","Aftenposten","substantiv",4959,0.4959,10000
"42","aftenposten","Aftenposten","verb",2768,0.2768,10000
"43","aftenposten","Aftenposten","adjektiv",1547,0.1547,10000
"44","aftenposten","Aftenposten","adverb",726,0.0726,10000
"45","økonomisk","Økonomisk rapport","substantiv",4891,0.489051094890511,10001
"46","økonomisk","Økonomisk rapport","verb",2807,0.280671932806719,10001
"47","økonomisk","Økonomisk rapport","adjektiv",1607,0.160683931606839,10001
"48","økonomisk","Økonomisk rapport","adverb",696,0.0695930406959304,10001
"49","bedre_gardsdrift","Bedre Gardsdrift","substantiv",4705,0.4705,10000
"50","bedre_gardsdrift","Bedre Gardsdrift","verb",2964,0.2964,10000
"51","bedre_gardsdrift","Bedre Gardsdrift","adjektiv",1621,0.1621,10000
"52","bedre_gardsdrift","Bedre Gardsdrift","adverb",710,0.071,10000
"53","adresseavisen","Adresseavisen","substantiv",4712,0.471247124712471,9999
"54","adresseavisen","Adresseavisen","verb",3029,0.302930293029303,9999
"55","adresseavisen","Adresseavisen","adjektiv",1472,0.147214721472147,9999
"56","adresseavisen","Adresseavisen","adverb",786,0.0786078607860786,9999
"57","naturen","Naturen","substantiv",4638,0.4638,10000
"58","naturen","Naturen","verb",2753,0.2753,10000
"59","naturen","Naturen","adjektiv",1868,0.1868,10000
"60","naturen","Naturen","adverb",741,0.0741,10000
"61","reiser","Reiser & ferie","substantiv",5015,0.501449855014499,10001
"62","reiser","Reiser & ferie","verb",2501,0.25007499250075,10001
"63","reiser","Reiser & ferie","adjektiv",1799,0.17988201179882,10001
"64","reiser","Reiser & ferie","adverb",686,0.0685931406859314,10001
"65","gamereactor","Gamereactor","substantiv",4066,0.4066,10000
"66","gamereactor","Gamereactor","verb",2930,0.293,10000
"67","gamereactor","Gamereactor","adjektiv",2055,0.2055,10000
"68","gamereactor","Gamereactor","adverb",949,0.0949,10000
"69","filmmagasinet","Filmmagasinet","substantiv",4877,0.4877,10000
"70","filmmagasinet","Filmmagasinet","verb",2700,0.27,10000
"71","filmmagasinet","Filmmagasinet","adjektiv",1716,0.1716,10000
"72","filmmagasinet","Filmmagasinet","adverb",707,0.0707,10000
