"publikasjon","full_titel","substantiv","s_ratio","verb","v_ratio","adjektiv","adj_ratio","adverb","adv_ratio"
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på",3733,0.373,3277,0.328,1564,0.156,1426,0.143
"helseplager","Kvinners ubestemte helseplager",3886,0.389,3440,0.344,1755,0.175,919,0.092
"rødt","Rødt!",4615,0.461,3030,0.303,1607,0.161,748,0.075
"seileeventyr","Et seileeventyr i økologi",4440,0.444,3162,0.316,1611,0.161,788,0.079
"filmopplevelse","Den reflekterte filmopplevelse",4917,0.492,2741,0.274,1647,0.165,695,0.069
"vårt_land","Vårt Land",4502,0.45,3120,0.312,1564,0.156,814,0.081
"jakt_og_fiske","Jakt & fiske",4607,0.461,2895,0.289,1724,0.172,774,0.077
"amnesty_nytt","Amnesty Nytt",4446,0.445,3235,0.323,1675,0.168,644,0.064
"barnebok","Barneboklesninger",4530,0.453,3265,0.326,1394,0.139,811,0.081
"dagbladet","Dagblaget",4644,0.464,2807,0.281,1768,0.177,782,0.078
"aftenposten","Aftenposten",4959,0.496,2768,0.277,1547,0.155,726,0.073
"økonomisk","Økonomisk rapport",4891,0.489,2807,0.281,1607,0.161,696,0.07
"bedre_gardsdrift","Bedre Gardsdrift",4705,0.471,2964,0.296,1621,0.162,710,0.071
"adresseavisen","Adresseavisen",4712,0.471,3029,0.303,1472,0.147,786,0.079
"naturen","Naturen",4638,0.464,2753,0.275,1868,0.187,741,0.074
"reiser","Reiser & ferie",5015,0.501,2501,0.25,1799,0.18,686,0.069
"gamereactor","Gamereactor",4066,0.407,2930,0.293,2055,0.206,949,0.095
"filmmagasinet","Filmmagasinet",4877,0.488,2700,0.27,1716,0.172,707,0.071
