"deltakar","kjønn","alder","dialekt","språk","ord","ordklasse","setning","setning_nr","kategori","np_pro","rekkefølgje","subjekt","verb","partikkel","objekt","verb_part"
"GB01","male",34,"Göteborg","swedish","igår","Adv","Igår drack den gamla bagaren upp den sista ölen","1126","Part-Sub","NP","SP","bagaren","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","drack","V","Igår drack den gamla bagaren upp den sista ölen","1126","Part-Sub","NP","SP","bagaren","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","den","Det","Igår drack den gamla bagaren upp den sista ölen","1126","Part-Sub","NP","SP","bagaren","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","gamla","Adj","Igår drack den gamla bagaren upp den sista ölen","1126","Part-Sub","NP","SP","bagaren","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","bagaren","N","Igår drack den gamla bagaren upp den sista ölen","1126","Part-Sub","NP","SP","bagaren","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","upp","Part","Igår drack den gamla bagaren upp den sista ölen","1126","Part-Sub","NP","SP","bagaren","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","sista","Adj","Igår drack den gamla bagaren upp den sista ölen","1126","Part-Sub","NP","SP","bagaren","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","ölen","N","Igår drack den gamla bagaren upp den sista ölen","1126","Part-Sub","NP","SP","bagaren","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","igår","Adv","Igår drack han upp den sista ölen","1127","Part-Sub","PRO","SP","han","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","drack","V","Igår drack han upp den sista ölen","1127","Part-Sub","PRO","SP","han","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","han","Pron","Igår drack han upp den sista ölen","1127","Part-Sub","PRO","SP","han","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","upp","Part","Igår drack han upp den sista ölen","1127","Part-Sub","PRO","SP","han","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","den","Art","Igår drack han upp den sista ölen","1127","Part-Sub","PRO","SP","han","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","sista","Adj","Igår drack han upp den sista ölen","1127","Part-Sub","PRO","SP","han","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","ölen","N","Igår drack han upp den sista ölen","1127","Part-Sub","PRO","SP","han","drack","upp","ölen","drack_upp"
"GB01","male",34,"Göteborg","swedish","förra","Adj","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","året","N","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","gav","V","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","den","Art","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","bästa","Adj","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","löparen","N","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","upp","Part","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","under","Prep","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","sista","Adj","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","varvet","N","Förra året gav den bästa löparen upp under sista varvet","1128","Part-Sub","NP","SP","löparen","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","förra","Adj","Förra året gav hon upp under sista varvet","1129","Part-Sub","PRO","SP","hon","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","året","N","Förra året gav hon upp under sista varvet","1129","Part-Sub","PRO","SP","hon","gav","upp",NA,"gav_upp"
"GB01","male",34,"Göteborg","swedish","gav","V","Förra året gav hon upp under sista varvet","1129","Part-Sub","PRO","SP","hon","gav","upp",NA,"gav_upp"
